STORE_NAME,longitude,latitude,ADDRESS,ADDRESS2,CITY,STATE,ZIP5,zip4,County,
"RITE AID 05800",-119.46756,35.14576,"1076 Kern St","","Taft","CA","93268","2743","KERN" 
"RITE AID 5807",-119.35368,35.601475,"2501 Highway 46","","Wasco","CA","93280","2919","KERN" 
"RITE AID 5809",-119.02003,35.379997,"1601 23rd St","","Bakersfield","CA","93301","4035","KERN" 
"RITE AID 5811",-119.02135,35.339863,"1425 S H St","","Bakersfield","CA","93304","4512","KERN" 
"RITE AID 5814",-118.96732,35.389553,"2505 Mount Vernon Ave","","Bakersfield","CA","93306","2919","KERN" 
"RITE AID 5815",-119.02085,35.42675,"100 China Grade Loop","","Bakersfield","CA","93308","1739","KERN" 
"RITE AID 05816",-119.03914,35.41275,"715 Airport Dr","","Bakersfield","CA","93308","4129","KERN" 
"RITE AID 5817",-119.0915,35.318367,"8000 White Ln","","Bakersfield","CA","93309","7688","KERN" 
"RITE AID 5837",-117.95929,35.125828,"9482 California City Blvd","","California City","CA","93505","2803","KERN" 
"RITE AID 5839",-118.42036,37.377575,"1375 Rocking W Dr","","Bishop","CA","93514","1995","INYO" 
"RITE AID 5840",-118.15631,34.689407,"1356 W Avenue J","","Lancaster","CA","93534","2936","LOS ANGELES" 
"RITE AID 5842",-118.96606,37.645935,"26 OLD MAMMOTH RD","","MAMMOTH LAKES","CA","93546","","MONO" 
"RITE AID 5844",-118.04494,34.571705,"37950 47th St E","","Palmdale","CA","93552","3271","LOS ANGELES" 
"RITE AID 5845",-117.66998,35.622761,"101 N China Lake Blvd","","Ridgecrest","CA","93555","3915","KERN" 
"Saigon Market",-118.3528,33.888329,"15705 Hawthorne Blvd","Ste A","Lawndale","CA","90260","3913","LOS ANGELES" 
"RITE AID 6383",-118.25696,34.047466,"600 W 7th St","","Los Angeles","CA","90017","3842","LOS ANGELES" 
"RITE AID 5678",-116.18169,33.677711,"51101 Harrison St","","Coachella","CA","92236","1560","RIVERSIDE" 
